Amarelo Macaron Velvet High Speed Premium;Voolt;PLA
Amarelo Premium High Speed;3D Prime;PLA
Azul Macaron Velvet;Voolt;PLA
Azul Velvet High Speed Premium;Voolt;PLA
Bege Caucasiano Velvet;Voolt;PLA
Branco Basic;3D Prime;PLA
Branco Dental High Speed Premium ABS;Voolt;ABS
Branco Dental Premium PETG;Voolt;PETG
Branco Off White Velvet High Speed Premium;Voolt;PLA
Branco Pérola Silk;3D Prime;PLA
Branco Premium HT High Speed;3D Prime;PLA
Branco Premium HT PLA;3D Prime;PLA
Branco Velvet High Speed Premium;Voolt;PLA
Cinza Claro Premium;Voolt;PLA
Cinza Grafite High Speed Premium;Voolt;PLA
Dourado Ultra V-Silk High Speed Premium;Voolt;PLA
Laranja High Speed;3D Prime;PLA
Laranja Macaron Velvet Premium;Voolt;PLA
Laranja Neon Translúcido;Voolt;PETG
Lilás Macaron Velvet High Speed Premium;Voolt;PLA
Marrom Cappuccino Velvet High Speed Premium;Voolt;PLA
Marrom Caramelo High Speed Premium;Voolt;PLA
Marrom High Speed Premium;Voolt;PLA
Marrom Premium HT High Speed;3D Prime;PLA
Natural High Speed;3D Prime;PLA
Ouro Premium HT High Speed;3D Prime;PLA
Pele Caucasiano High Speed Premium;3D Prime;PLA
Preto Basic;3D Prime;PLA
Preto Premium;Voolt;PLA
Preto High Speed Premium ABS;Voolt;ABS
Preto PETG F3D;F3D;PETG
Preto Premium PETG;Voolt;PETG
Preto Velvet High Speed Premium;Voolt;PLA
Rosa Bebê Vevelt;Voolt;PLA
Rosa High Speed Premium;Voolt;PLA
Rosa Púrpura High Speed Premium ;Voolt;PLA
Rosê Gold Silk;3D Prime;PLA
Roxo High Speed Premium;Voolt;PLA
Tricolor V-Silk Premium Ametista/Azul Safira/Dourado;Voolt;PLA
Tricolor V-Silk Premium Dourado/Rosa Choque/Verde ;Voolt;PLA
Verde Macaron Velvet High Speed Premium;Voolt;PLA
Verde Oliva Velvet;Voolt;PLA
Verde Premium HT High Speed;3D Prime;PLA
Verde Tiffany High Speed Premium ;Voolt;PLA
Verde Velvet High Speed Premium;Voolt;PLA
Vermelho Marsala Premium;Voolt;PLA
Vermelho Velvet Premium;Voolt;PLA
Vermelho Velvet High Speed Premium;Voolt;PLA
Azul Marinho Speed Premium ;3D Lab;PLA
