Anjo da Guarda (9cm);1;1,26;2,5;;5,76;11,52;15
Mestre Yoda (15cm);3;20,92;2,5;;29,42;58,84;90
Bandeja de joias;4;13,4;2,5;;23,9;47,8;30
Benchy;1;1,73;;;3,73;7,46;15
Borboleta articulada;3;7,7;2,5;;16,2;32,4;35
Caixa de joias empilhável V4 (1un com tampa);4;9,66;2,5;;20,16;40,32;35
Caixa de joias empilhável V4 (1un sem tampa);3;7,19;2,5;;15,69;31,38;28
Caixa de viagem pequena para joias;3;12,01;2,5;;20,51;41,02;40
Caixa dobrável personalizável;1;0,97;;;2,97;5,94;6
Caixa organizadora de joias Mandala;3;7,74;2,5;;16,24;32,48;25
Caixa para chá com tampa;13;56,7;2,5;;85,2;170,4;140
Caixa para lenço/papel higiênico;5;19,9;2,5;;32,4;64,8;65
Carregador de relógio Haylou Solar Ls05;2;4,56;2,5;;11,06;22,12;20
Cartão de visita PEM Studio;3;8,29;;;14,29;28,58;1,43
Cesta Corda;6;17,5;2,5;;32;64;64
Chaveiro 1 Nome;1;0,48;2,5;0,4;5,38;10,76;12
Chaveiro 2 Nomes;1;0,68;2,5;0,4;5,58;11,16;15
Chaveiro Cachorro Tricô;2;1,7;2,5;0,4;8,6;17,2;15
Chaveiro Coração + Nomes;1;0,99;2,5;0,4;5,89;11,78;20
Chaveiro Docinho + Nome (4 Cores);1;1,63;1,7;0,4;5,73;11,46;20
Chaveiro Docinho Sem Nome (4 Cores);1;1,55;1,7;0,4;5,65;11,3;18
Chaveiro Flamengo 2 Lados (3 Cores);1;1,62;1;0,4;5,02;10,04;20
Chaveiro Gatinho Tricô;2;2,09;2,5;0,4;8,99;17,98;15
Chaveiro Halter (4Kg);2;3,44;1;0,4;8,84;17,68;20
Chaveiro placa BR com nome;1;1,12;2,5;0,4;6,02;12,04;15
Chaveiro Placa Nome + Sobrenome (Maior);1;1,48;1,14;0,4;5,02;10,04;18
Chaveiro Placa Nome + Sobrenome (Menor);1;0,55;1,14;0,4;4,09;8,18;12
Chaveiro Pneu com nome;1;1,28;2,5;;5,78;11,56;20
Chaveiro Polvo;2;3,37;2,5;0,4;10,27;20,54;20
Chaveiro Stitch;1;1,3;2,5;0,4;6,2;12,4;15
Chaveiro Unicórnio + Nome (3 Cores);1;1,33;2,1;0,4;5,83;11,66;15
Clicker Café;1;2,72;2,5;6,62;13,84;27,68;28
